ant,Antakarinya,Southwest Pama-Nyungan,Latn
anu,Anuak,Northern Luo,Latn
anv,Denya,Mamfe,Latn
anw,Anaang,Ibibio-Efik,Latn
anx,Andra-Hus,Admiralty Islands,Latn
any,Anyi,Central Tano,Latn
anz,Anem,Papuan,Latn
aoa,Angolar,creole or pidgin,Latn
aob,Abom,Trans-New Guinea,Latn
aoc,Pemon,Cariban,Latn
aod,Andarum,Papuan,Latn
aoe,Angal Enen,Engan,Latn
aof,Bragat,Torricelli,Latn
aog,Angoram,Lower Sepik,Latn
aoi,Anindilyakwa,Arnhem,Latn
aoj,Mufian,Torricelli,Latn
aok,Arhö,New Caledonian,Latn
aol,Alor,Malayo-Polynesian,Latn
aom,Ömie,Trans-New Guinea,Latn
aon,Bumbita Arapesh,Torricelli,Latn
aor,Aore,North-Central Vanuatu,Latn
aos,Taikat,Border,Latn
aot,Atong (India),Bodo-Garo,"Latn, Beng"
aou,A'ou,Gelao,Latn
aox,Atorada,Arawakan,Latn
aoz,Uab Meto,Timoric,Latn
apb,Sa'a,Southeast Solomonic,Latn
apc,North Levantine Arabic,Arabic,Arab
apd,Sudanese Arabic,Arabic,Arab
ape,Bukiyip,Torricelli,Latn
apf,Pahanan Agta,Philippine,Latn
apg,Ampanang,Malayo-Polynesian,Latn
aph,Athpare,Eastern Kiranti,"Deva, Latn"
api,Apiaká,Tupi-Guarani,Latn
apj,Jicarilla,Apachean,Latn
apk,Plains Apache,Apachean,Latn
apl,Lipan,Apachean,Latn
apm,Chiricahua,Apachean,Latn
apn,Apinayé,Northern Jê,Latn
apo,Ambul,Western Oceanic,Latn
app,Apma,North-Central Vanuatu,Latn
apq,A-Pucikwar,Central Great Andamanese,Latn
apr,Arop-Lokep,Western Oceanic,Latn
aps,Arop-Sissano,Western Oceanic,Latn
apt,Apatani,Tani,Latn
apu,Apurinã,Arawakan,Latn
apv,Alapmunte,Nambikwaran,Latn
apw,Western Apache,Apachean,Latn
apx,Aputai,Timoric,Latn
apy,Apalaí,Cariban,Latn
apz,Safeyoka,Trans-New Guinea,Latn
aqc,Archi,Lezghian,Cyrl
aqd,Ampari Dogon,West Dogon,Latn
aqg,Arigidi,Volta-Niger,Latn
aqm,Atohwaim,Trans-New Guinea,Latn
aqn,Northern Alta,Philippine,Latn
aqp,Atakapa,isolate,Latn
aqr,Arhâ,New Caledonian,Latn
aqt,Angaité,Mascoian,Latn
aqz,Akuntsu,Tupian,Latn
arc,Aramaic,Aramaic,"Hebr, Armi, Syrc, Palm, Nbat, Phnx, Mand, Samr, Hatr"
ard,Arabana,Karnic,Latn
are,Western Arrernte,Pama-Nyungan,Latn
arh,Arhuaco,Chibchan,Latn
ari,Arikara,Caddoan,Latn
arj,Arapaso,Tucanoan,Latn
ark,Arikapú,Macro-Jê,Latn
arl,Arabela,Zaparoan,Latn
arn,Mapudungun,Araucanian,Latn
aro,Araona,Tacanan,Latn
arp,Arapaho,Arapahoan,Latn
arq,Algerian Arabic,Arabic,Arab
arr,Arara-Karo,Tupian,Latn
ars,Najdi Arabic,Arabic,Arab
aru,Arua,Arauan,Latn
arv,Arbore,Cushitic,Latn
arw,Arawak,Ta-Arawakan,Latn
arx,Aruá,Tupian,Latn
ary,Moroccan Arabic,Arabic,Arab
arz,Egyptian Arabic,Arabic,Arab
asa,Pare,Pare,Latn
asb,Assiniboine,Dakotan,Latn
